county_fips,places_access2,places_bphigh,places_chd,places_depression,places_diabetes,places_foodinsecu,places_foodstamp,places_ghlth,places_housinsecu,places_lacktrpt,places_lpa,places_mhlth,places_obesity,places_stroke
19085,7.2,30.7,5.5,21.6,9.7,12.0,10.1,16.7,9.9,6.9,24.0,17.7,35.0,2.8
19087,8.2,32.1,5.7,21.2,10.2,12.9,11.4,18.1,10.6,7.5,24.8,17.7,39.1,3.0
19089,8.0,31.0,5.7,21.8,9.7,12.9,11.0,18.0,10.3,7.3,24.6,18.2,38.2,2.9
19091,8.1,32.0,5.9,21.7,10.2,13.9,12.4,18.3,11.0,7.9,25.5,18.4,41.6,3.1
19093,7.8,30.7,5.6,21.7,9.6,13.0,11.2,17.6,10.5,7.4,25.7,17.9,41.4,2.9
19095,7.0,30.5,5.3,21.5,9.1,11.2,9.3,16.3,9.1,6.6,23.1,17.6,43.1,2.7
19097,7.4,31.3,5.6,22.2,9.6,12.5,10.9,17.5,10.2,7.2,25.0,18.3,40.2,2.9
19099,7.5,31.7,5.5,21.5,9.7,12.4,10.3,17.4,10.3,7.1,24.1,17.9,38.3,2.9
19101,7.0,31.9,5.7,20.3,10.1,13.0,11.3,17.6,10.1,7.4,24.1,16.4,39.7,2.9
19103,6.4,30.8,5.2,20.4,9.7,11.2,9.5,15.1,9.5,6.7,19.2,15.7,32.8,2.7
19105,7.4,30.6,5.5,21.0,9.4,12.4,10.4,16.8,10.1,7.1,24.0,17.7,39.6,2.9
